alfalfa_sprouts,AE2.L.F.AE1.L.F.AH0.S.P.R.AW1.T.S
red_bell_peppers,R.EH1.D.B.EH1.L.P.EH1.P.ER0.Z
potatoes,P.AH0.T.EY1.T.OW0.Z
patty_pan_squash,P.AE1.T.IY0.P.AE1.N.S.K.W.AA1.SH
sweet_pepper,S.W.IY1.T.P.EH1.P.ER0
collard_greens,K.AA1.L.ER0.D.G.R.IY1.N.Z
legume,L.EH1.G.Y.UW2.M
ecru,EH1.K.R.UW0
string_beans,S.T.R.IH1.NG.B.IY1.N.Z
escarole,EH0.S.K.AH0.R.OW1.L
sweet_potato,S.W.IY1.T.P.AH0.T.EY2.T.OW0
yellow_peppers,Y.EH1.L.OW0.P.EH1.P.ER0.Z
lentil,L.EH1.N.T.AH0.L
wheat_flour,HH.W.IY1.T.F.L.AW1.R
wax_peas,W.AE1.K.S.P.IY1.Z
lemongrass,L.IH1.M.AH0.N.G.R.AE1.S
flower,F.L.AW1.ER0
cannelini,K.AE1.N.AH0.L.IY2.N.IY0
red_beets,R.EH1.D.B.IY1.T.S
barley,B.AA1.R.L.IY0
grits,G.R.IH1.T.S
butter_beans,B.AH1.T.ER0.B.IY1.N.Z
mustard_greens,M.AH1.S.T.ER0.D.G.R.IY1.N.Z
cherimoya,CH.EH1.R.IY0.M.OY2.Y.AH0
pumpkins,P.AH1.M.K.AH0.N.Z
october_beans,AA0.K.T.OW1.B.ER0.B.IY1.N.Z
acorn,EY1.K.AO2.R.N
irish_potato,AY1.R.IH0.SH.P.AH0.T.EY1.T.OW2
red_cabbage,R.EH1.D.K.AE1.B.IH0.JH
grasses,G.R.AE1.S.IH0.Z
spinach,S.P.IH1.N.AH0.CH
bell_pepper,B.EH1.L.P.EH1.P.ER0
chili_beans,CH.IH1.L.IY0.B.IY1.N.Z
cucumber,K.Y.UW1.K.AH0.M.B.ER0
cheese,CH.IY1.Z
butter_pea,B.AH1.T.ER0.P.IY1
doughnuts,D.OW1.N.AH2.T.S
lettuce,L.EH1.T.AH0.S
butternut_squash,B.AH1.T.ER0.N.AH0.T.S.K.W.AA1.SH.S.K.W.AA1.SH
snap_beans,S.N.AE1.P.B.IY1.N.Z
alfalfa_sprout,AE2.L.F.AE1.L.F.AH0.S.P.R.AW1.T
boiled_potatoes,B.OY1.L.D.P.AH0.T.EY1.T.OW0.Z
bears,B.EH1.R.Z
white_bean,HH.W.AY1.T.B.IY1.N
yellow_tomatoes,Y.EH1.L.OW0.T.AH0.M.AA1.T.OW0.Z
scallion,S.K.AE1.L.Y.AH0.N
pole_beans,P.OW1.L.B.IY1.N.Z
asper_gum,AE1.S.P.ER0.G.AH1.M
banana,B.AH0.N.AE1.N.AH0
kiwi,K.IY1.W.IY0
wax_bean,W.AE1.K.S.B.IY1.N
shallot,SH.AE1.L.AH0.T
acorns,EY1.K.AO0.R.N.Z
qual,K.W.AA1.L
cereal,S.IH1.R.IY0.AH0.L
kholrabi,K.OW0.L.R.AA1.B.IY0
prune,P.R.UW1.N
oats,OW1.T.S
tree,T.R.IY1
apples,AE1.P.AH0.L.Z
coconut,K.OW1.K.AH0.N.AH2.T
gobo_root,G.OW1.B.OW0.R.UW1.T.R.UW1.T
pinto_beans,P.IH1.N.T.OW2.B.IY1.N.Z
carrots,K.EH1.R.AH0.T.S
ginger,JH.IH1.N.JH.ER0
black-eyed_pea,B.L.AE1.K.AY1.D.P.IY1.Z.P.IY1
corns,K.AO1.R.N.Z
green_pea,G.R.IY1.N.P.IY1
boisenberry,B.OY1.Z.AH0.N.B.EH1.R.IY0
guavas,G.W.AA1.V.AH0.Z
summer_squash,S.AH1.M.ER0.S.K.W.AA1.SH
mustards,M.AH1.S.T.ER0.D.Z
hubbard_squash,HH.AH1.B.ER0.D.S.K.W.AA1.SH
zucchini,Z.UW0.K.IY1.N.IY0
black_eyed_pea,B.L.AE1.K.AY1.D.P.IY1
bamboo_shoot,B.AE0.M.B.UW1.SH.UW1.T
eggs,EH1.G.Z
shallots,SH.AE1.L.AH0.T.S
romaine,R.OW0.M.EY1.N
sweet_pea,S.W.IY1.T.P.IY1
watercress,W.AO1.T.ER0.K.R.EH2.S
northern_beans,N.AO1.R.DH.ER0.N.B.IY1.N.Z
chard,CH.AA1.R.D
beets,B.IY1.T.S
legumes,L.EH1.G.Y.UW2.M.Z
crookneck_squash,K.R.UH1.K.N.EH0.K.S.K.W.AA1.SH.S.K.W.AA1.SH
jalapenos,HH.AH0.L.AH0.P.EY1.N.Y.OW0.Z
pineapple,P.AY1.N.AE2.P.AH0.L
radicchio,R.AH0.D.IY1.K.IY0.Y.OW0
scotch,S.K.AA1.CH
field_pea,F.IY1.L.D.P.IY1
bell_peppers,B.EH1.L.P.EH1.P.ER0.Z
romaine_lettuce,R.OW0.M.EY1.N.L.EH1.T.AH0.S
sage,S.EY1.JH
peaches,P.IY1.CH.IH0.Z
fennel,F.EH1.N.AH0.L
dandelions,D.AE1.N.D.AH0.L.AY2.AH0.N.Z
english_peas,IH1.NG.L.IH0.SH.P.IY1.Z
kale,K.EY1.L
caper,K.EY1.P.ER0
nectarine,N.EH1.T.AH0.R.IY0.N
gourd,G.AO1.R.D
celery,S.EH1.L.ER0.IY0
bamboo_shoots,B.AE0.M.B.UW1.SH.UW1.T.S
jam,JH.AE1.M
brussels_sprouts,B.R.AH1.S.AH0.L.Z.S.P.R.AW1.T.S
rice,R.AY1.S
plums,P.L.AH1.M.Z
pumpkin,P.AH1.M.P.K.IH0.N
black-eyed_beans,B.L.AE1.K.AY1.D.B.IY1.N.Z.B.IY1.N.Z
dandelion,D.AE1.N.D.AH0.L.AY2.AH0.N
beat,B.IY1.T
bear,B.EH1.R
bean,B.IY1.N
watermelon,W.AO1.T.ER0.M.EH2.L.AH0.N
lotus_root,L.OW1.T.AH0.S.R.UW1.T
jicama,H.IH1.K.AH0.M.AH0
relish,R.EH1.L.IH0.SH
greens,G.R.IY1.N.Z
jalapeno_peppers,JH.AE2.L.AH0.P.IY1.N.OW0.P.EH1.P.ER0.Z
rutabagas,R.UW1.T.AH0.B.EY0.G.AH0.Z
chili_peppers,CH.IH1.L.IY0.P.EH1.P.ER0.Z
bibb_lettuce,B.IH1.B.L.EH1.T.AH0.S
banana_pepper,B.AH0.N.AE1.N.AH0.P.EH1.P.ER0
blue_eyed_peas,B.L.UW1.AY1.D.P.IY1.Z
lion,L.AY1.AH0.N
field_peas,F.IY1.L.D.P.IY1.Z
honeydew,HH.AH1.N.IY0.D.UW2
pistachio_nuts,P.AH0.S.T.AE1.SH.IY0.OW2.N.AH1.T.S
strawberry,S.T.R.AO1.B.EH2.R.IY0
green_bean,G.R.IY1.N.B.IY1.N
swiss_chard,S.W.IH1.S.CH.AA1.R.D
snap_bean,S.N.AE1.P.B.IY1.N
winter_melon,W.IH1.N.T.ER0.M.EH1.L.AH0.N
sugar_beans,SH.UH1.G.ER0.B.IY1.N.Z
edamame,EH0.D.AH0.M.AA1.M.EH0
yellow_squash,Y.EH1.L.OW0.S.K.W.AA1.SH
cantaloupe,K.AE1.N.T.AH0.L.OW2.P
cauliflower,K.AA1.L.AH0.F.L.AW2.ER0
hot_pepper,HH.AA1.T.P.EH1.P.ER0
cake,K.EY1.K
hairy_gourd,HH.EH1.R.IY0.G.AO1.R.D
succotash,S.AH1.K.AH0.T.AE0.SH
grain,G.R.EY1.N
eggplant,EH1.G.P.L.AE2.N.T
chinese_mustard,CH.AY0.N.IY1.Z.M.AH1.S.T.ER0.D
green_cabbage,G.R.IY1.N.K.AE1.B.IH0.JH
navy_bean,N.EY1.V.IY0.B.IY1.N
idaho_potato,AY1.D.AH0.HH.OW2.P.AH0.T.EY1.T.OW2
green_onion,G.R.IY1.N.AH1.N.Y.AH0.N
arugula,AH0.R.UW1.G.AH0.L.AH0
oregano,ER0.EH1.G.AH0.N.OW0
beetroot,B.IY1.T.R.UW1.T
olives,AA1.L.IH0.V.Z
red_potatoes,R.EH1.D.P.AH0.T.EY1.T.OW0.Z
beef,B.IY1.F
snow_peas,S.N.OW1.P.IY1.Z
parsley,P.AA1.R.S.L.IY0
yam,Y.AE1.M
horseradish,HH.AO1.R.S.R.AE2.D.IH0.SH
beet,B.IY1.T
napa,N.AE1.P.AH0
slaw,S.L.AO1
fava_bean,F.AA1.V.AH0.B.IY1.N
nectarines,N.EH1.T.AH0.R.IY0.N.Z
dark_kidney_beans,D.AA1.R.K.K.IH1.D.N.IY0.B.IY1.N.Z
white_onion,HH.W.AY1.T.AH1.N.Y.AH0.N
snap_pea,S.N.AE1.P.P.IY1
squirrel,S.K.W.ER1.AH0.L
mushroom,M.AH1.SH.R.UW0.M
regular_potatoes,R.EY1.G.Y.AH0.L.ER0.P.AH0.T.EY1.T.OW0.Z
squash,S.K.W.AA1.SH
tiger,T.AY1.G.ER0
butter_bean,B.AH1.T.ER0.B.IY1.N
chili,CH.IH1.L.IY0
grains,G.R.EY1.N.Z
parmesan_cheese,P.AA1.R.M.AH0.Z.AA2.N.CH.IY1.Z
finger_potato,F.IH1.NG.G.ER0.P.AH0.T.EY1.T.OW2
green_peppers,G.R.IY1.N.P.EH1.P.ER0.Z
cane,K.EY1.N
cereals,S.IH1.R.IY0.AH0.L.Z
sushi,S.UW1.SH.IY0
pork_and_beans,P.AO1.R.K.AE1.N.D.B.IY1.N.Z
cannellini_bean,K.AE1.N.AH0.L.IY2.N.IY0.B.IY1.N.B.IY1.N
endive,EH1.N.D.IH0.V
chilis,CH.IH1.L.IY0.Z
mint,M.IH1.N.T
fava_beans,F.AA1.V.AH0.B.IY1.N.Z
chicory,CH.IH1.K.ER0.IY0
apricots,AE1.P.R.AH0.K.AA2.T.S
macaroni,M.AE2.K.ER0.OW1.N.IY0
vegetable,V.EH1.JH.T.AH0.B.AH0.L
winter_squash,W.IH1.N.T.ER0.S.K.W.AA1.SH
tomatoes,T.AH0.M.AA1.T.OW0.Z
poke_salad,P.OW1.K.S.AE1.L.AH0.D
papaya,P.AH0.P.AY1.AH0
yellow_bell_peppers,Y.EH1.L.OW0.B.EH1.L.P.EH1.P.ER0.Z
jack_cheese,JH.AE1.K.CH.IY1.Z
garlic,G.AA1.R.L.IH0.K
chili_pepper,CH.IH1.L.IY0.P.EH1.P.ER0
brussels,B.R.AH1.S.AH0.L.Z
broccoli,B.R.AA1.K.AH0.L.IY0
butter,B.AH1.T.ER0
rapini,R.AH0.P.IY1.N.IY0
light_kidney_beans,L.AY1.T.K.IH1.D.N.IY0.B.IY1.N.Z
napa_cabbage,N.AE1.P.AH0.K.AE1.B.IH0.JH
green_squash,G.R.IY1.N.S.K.W.AA1.SH
chocho,CH.OW1.CH.OW0
alfalfa,AE2.L.F.AE1.L.F.AH0
bananas,B.AH0.N.AE1.N.AH0.Z
guava_beans,G.W.AA1.V.AH0.B.IY1.N.Z
green_bell_peppers,G.R.IY1.N.B.EH1.L.P.EH1.P.ER0.Z
bok_choi,B.AA1.K.CH.OY1
cilantro,S.IH0.L.AE1.N.T.R.OW0
samba,S.AA1.M.B.AH0
ham,HH.AE1.M
cherry,CH.EH1.R.IY0
collard,K.AA1.L.ER0.D
cherries,CH.EH1.R.IY0.Z
kelp,K.EH1.L.P
cranberries,K.R.AE1.N.B.EH2.R.IY0.Z
hot_peppers,HH.AA1.T.P.EH1.P.ER0.Z
kumquat,K.AH1.M.K.W.AA0.T
green_tomatoes,G.R.IY1.N.T.AH0.M.AA1.T.OW0.Z
soy_beans,S.OY1.B.IY1.N.Z
sweet_peas,S.W.IY1.T.P.IY1.Z
chives,CH.AY1.V.Z
anchovy,AE2.N.CH.OW1.V.IY0
grit,G.R.IH1.T
pistachio_nut,P.AH0.S.T.AE1.SH.IY0.OW2.N.AH1.T
bok_choy,B.AA1.K.CH.OY1
cole_slaw,K.OW1.L.S.L.AO1
scalloped_potatoes,S.K.AA1.L.AH0.P.T.P.AH0.T.EY1.T.OW0.Z
doughnut,D.OW1.N.AH2.T
deets,D.IY1.T.S
yellow_pepper,Y.EH1.L.OW0.P.EH1.P.ER0
wax_beans,W.AE1.K.S.B.IY1.N.Z
onion,AH1.N.Y.AH0.N
hominy,HH.AA1.M.IH0.N.IY0
blackberry,B.L.AE1.K.B.EH2.R.IY0
spaghetti_squash,S.P.AH0.G.EH1.T.IY0.S.K.W.AA1.SH
tomatillo,T.OW0.M.AH0.T.IY1.Y.OW0
sweet_peppers,S.W.IY1.T.P.EH1.P.ER0.Z
pea_bean,P.IY1.B.IY1.N
pickles,P.IH1.K.AH0.L.Z
skirret,S.K.IH1.R.EH0.T
zucchinis,Z.UW0.K.IY1.N.IY0.Z
lentils,L.EH1.N.T.AH0.L.Z
okra,OW1.K.R.AH0
jalapeno,HH.AH0.L.AH0.P.EY1.N.Y.OW0
green_onions,G.R.IY1.N.AH1.N.Y.AH0.N.Z
fox,F.AA1.K.S
grapefruit,G.R.EY1.P.F.R.UW2.T
cassava_melon,K.AH0.S.AA1.V.AH0.M.EH1.L.AH0.N.M.EH1.L.AH0.N
red_peppers,R.EH1.D.P.EH1.P.ER0.Z
pea,P.IY1
pepper,P.EH1.P.ER0
wheat,HH.W.IY1.T
crouton,K.R.UW1.T.AA0.N
corn,K.AO1.R.N
pasta,P.AA1.S.T.AH0
raspberry,R.AE1.Z.B.EH2.R.IY0
red_potato,R.EH1.D.P.AH0.T.EY1.T.OW2
black_bean,B.L.AE1.K.B.IY1.N
coral,K.AO1.R.AH0.L
anaheim_peppers,AE1.N.AH0.HH.AY2.M.P.EH1.P.ER0.Z
beans,B.IY1.N.Z
baked_beans,B.EY1.K.T.B.IY1.N.Z
cranberry,K.R.AE1.N.B.EH2.R.IY0
chive,CH.AY1.V
snow_pea,S.N.OW1.P.IY1
chinese_peas,CH.AY0.N.IY1.Z.P.IY1.Z
pineapples,P.AY1.N.AE2.P.AH0.L.Z
bean_sprouts,B.IY1.N.S.P.R.AW1.T.S
green_pepper,G.R.IY1.N.P.EH1.P.ER0
purple_hull_peas,P.ER1.P.AH0.L.HH.AH1.L.P.IY1.Z
artichokes,AA1.R.T.IH0.CH.OW2.K.S
mushrooms,M.AH1.SH.R.UW0.M.Z
brussel_sprout,B.R.AH1.S.AH0.L.S.P.R.AW1.T
choy_sum,CH.OY1.S.AH1.M
leeks,L.IY1.K.S
vegetables,V.EH1.JH.T.AH0.B.AH0.L.Z
anise,AE1.N.AH0.S
parsnip,P.AA1.R.S.N.IH0.P
boston_lettuce,B.AO1.S.T.AH0.N.L.EH1.T.AH0.S
avocados,AE2.V.AH0.K.AA1.D.OW0.Z
green_mustard,G.R.IY1.N.M.AH1.S.T.ER0.D
sweet_potatoes,S.W.IY1.T.P.AH0.T.EY1.T.OW0.Z
peppers,P.EH1.P.ER0.Z
black_-_eyed_peas, B L AE1 K AY1 D P IY1 Z
basil,B.AE1.Z.AH0.L
strawberries,S.T.R.AO1.B.EH2.R.IY0.Z
shish_kabob,SH.IH1.SH.K.AH0.B.AA1.B
nut,N.AH1.T
tomatillos,T.OW0.M.AH0.T.IY1.Y.OW0.Z
lotus_leaf,L.OW1.T.AH0.S.L.IY1.F
ravanos,R.AA1.V.AH0.N.OW0.S
red_pepper,R.EH1.D.P.EH1.P.ER0
apricot,EY1.P.R.AH0.K.AA2.T
anchovies,AE1.N.CH.OW2.V.IY0.Z
tangerines,T.AE1.N.JH.ER0.IY2.N.Z
garbanzo,G.AA0.R.B.AA1.N.Z.OW0
turnip,T.ER1.N.AH0.P
grass,G.R.AE1.S
dill,D.IH1.L
coconuts,K.OW1.K.AH0.N.AH2.T.S
beats,B.IY1.T.S
sprouts,S.P.R.AW1.T.S
cotton,K.AO1.T.AH0.N
lemon,L.EH1.M.AH0.N
peach,P.IY1.CH
mixed_vegetables,M.IH1.K.S.T.V.EH1.JH.T.AH0.B.AH0.L.Z
pinto_bean,P.IH1.N.T.OW2.B.IY1.N
oat,OW1.T
leek,L.IY1.K
black-eyed_peas,B.L.AE1.K.AY1.D.P.IY1.Z.P.IY1.Z
aloe_vera,AE1.L.OW2.V.EH1.R.AH0
mustard,M.AH1.S.T.ER0.D
green_lettuce,G.R.IY1.N.L.EH1.T.AH0.S
pear,P.EH1.R
peas,P.IY1.Z
yellow_beans,Y.EH1.L.OW0.B.IY1.N.Z
capers,K.EY1.P.ER0.Z
red_beans,R.EH1.D.B.IY1.N.Z
radishes,R.AE1.D.IH0.SH.IH0.Z
potato,P.AH0.T.EY1.T.OW0
fresh_potatoes,F.R.EH1.SH.P.AH0.T.EY1.T.OW0.Z
white_squash,HH.W.AY1.T.S.K.W.AA1.SH
fried_potatoes,F.R.IY1.D.P.AH0.T.EY1.T.OW0.Z
brazilian_nuts,B.R.AH0.Z.IH1.L.Y.AH0.N.N.AH1.T.S
